carat,cut,color,clarity,depth,table,price,x,y,z
1.0,Premium,G,SI2,59.1,59.0,3142,6.55,6.48,0.0
1.01,Premium,H,I1,58.1,59.0,3167,6.66,6.6,0.0
1.1,Premium,G,SI2,63.0,59.0,3696,6.5,6.47,0.0
1.01,Premium,F,SI2,59.2,58.0,3837,6.5,6.47,0.0
1.5,Good,G,I1,64.0,61.0,4731,7.15,7.04,0.0
1.07,Ideal,F,SI2,61.6,56.0,4954,0.0,6.62,0.0
1.0,Very Good,H,VS2,63.3,53.0,5139,0.0,0.0,0.0
1.15,Ideal,G,VS2,59.2,56.0,5564,6.88,6.83,0.0
1.14,Fair,G,VS1,57.5,67.0,6381,0.0,0.0,0.0
2.18,Premium,H,SI2,59.4,61.0,12631,8.49,8.45,0.0
1.56,Ideal,G,VS2,62.2,54.0,12800,0.0,0.0,0.0
2.25,Premium,I,SI1,61.3,58.0,15397,8.52,8.42,0.0
1.2,Premium,D,VVS1,62.1,59.0,15686,0.0,0.0,0.0
2.2,Premium,H,SI1,61.2,59.0,17265,8.42,8.37,0.0
2.25,Premium,H,SI2,62.8,59.0,18034,0.0,0.0,0.0
2.02,Premium,H,VS2,62.7,53.0,18207,8.02,7.95,0.0
2.8,Good,G,SI2,63.8,58.0,18788,8.9,8.85,0.0
0.71,Good,F,SI2,64.1,60.0,2130,0.0,0.0,0.0
0.71,Good,F,SI2,64.1,60.0,2130,0.0,0.0,0.0
1.12,Premium,G,I1,60.4,59.0,2383,6.71,6.67,0.0
